,tourorigin,tourdestination,orig_dest,name,tourno,starttime,endtime,truckid,initial_distance,last_recorded_distance_at_end
99,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4831,2018-02-12 03:16:18.921,2018-02-14 11:12:06.921,1,1698,3
100,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4833,2018-02-12 03:48:37.811,2018-02-14 02:56:04.211,1,1694,7
101,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4835,2018-02-12 04:19:05.149,2018-02-14 04:37:55.549,1,1694,7
102,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4837,2018-02-12 04:47:12.352,2018-02-14 15:16:20.752,1,1696,8
103,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4839,2018-02-12 05:17:39.330,2018-02-14 18:58:12.930,1,1695,1
104,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4841,2018-02-12 05:59:30.541,2018-02-14 16:07:13.741,1,1695,2
105,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4843,2018-02-12 06:30:19.029,2018-02-14 21:52:52.629,1,1698,1
106,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4845,2018-02-12 07:03:07.513,2018-02-14 00:17:38.713,1,1695,0
107,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4847,2018-02-12 07:34:41.528,2018-02-14 06:34:59.528,1,1695,4
108,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4849,2018-02-12 08:28:21.122,2018-02-12 07:59:47.522,1,1663,1
109,Eindhoven Airport,Madrid,Eindhoven Airport-Madrid,Truck 1,4851,2018-02-12 08:26:27.127,2018-02-14 17:55:24.727,1,1692,4
110,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 46,4103,2018-01-29 21:31:31.448,2018-02-01 12:04:47.048,46,2005,2
111,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4501,2018-02-02 21:57:47.351,2018-02-05 16:58:37.751,2,2006,1
112,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4503,2018-02-02 17:38:05.007,2018-02-05 07:45:30.207,2,2003,0
113,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4505,2018-02-02 22:19:53.593,2018-02-05 09:28:48.793,2,2004,5
114,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4507,2018-02-02 18:53:41.056,2018-02-05 08:22:41.056,2,2004,2
115,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4509,2018-02-02 19:35:08.574,2018-02-05 15:40:55.374,2,2005,1
116,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4511,2018-02-02 20:10:33.401,2018-02-05 03:38:08.201,2,2004,0
117,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4513,2018-02-02 20:37:38.151,2018-02-05 08:52:10.551,2,2003,1
118,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4515,2018-02-02 21:20:43.682,2018-02-05 11:33:35.282,2,2003,2
119,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4517,2018-02-03 03:16:09.432,2018-02-05 11:29:58.632,2,2003,13
120,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4519,2018-02-02 22:29:59.276,2018-02-05 09:44:41.276,2,2004,2
121,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4521,2018-02-02 23:05:59.874,2018-02-05 12:21:03.474,2,2005,1
122,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4523,2018-02-02 23:38:56.062,2018-02-05 08:34:34.462,2,2005,0
123,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4525,2018-02-03 00:21:35.529,2018-02-05 14:00:47.529,2,2004,1
124,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4527,2018-02-03 01:02:38.124,2018-02-05 08:20:41.724,2,2004,1
125,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4529,2018-02-03 06:35:17.088,2018-02-05 22:35:14.688,2,2005,1
126,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4531,2018-02-03 02:18:39.771,2018-02-05 17:39:31.371,2,2005,2
127,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4533,2018-02-03 02:48:03.880,2018-02-05 19:06:23.080,2,2007,3
128,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4535,2018-02-03 03:19:57.206,2018-02-06 03:24:04.406,2,2003,1
129,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4537,2018-02-03 03:58:28.542,2018-02-05 11:25:02.142,2,2004,1
130,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4539,2018-02-03 04:43:50.758,2018-02-05 20:31:13.558,2,2003,1
131,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4541,2018-02-03 05:20:54.108,2018-02-06 03:29:25.308,2,2005,1
132,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4543,2018-02-03 05:49:23.731,2018-02-05 13:42:08.131,2,2003,1
133,Eindhoven Airport,Porto,Eindhoven Airport-Porto,Truck 2,4545,2018-02-03 06:25:00.969,2018-02-04 07:29:51.369,2,2004,1162
134,Eindhoven Airport,Rome,Eindhoven Airport-Rome,Truck 45,4105,2018-01-29 23:35:26.399,2018-02-01 03:47:51.599,45,1555,0
135,Eindhoven Airport,Rome,Eindhoven Airport-Rome,Truck 45,4107,2018-01-29 22:27:39.848,2018-01-31 22:29:30.248,45,1551,1
136,Eindhoven Airport,Rome,Eindhoven Airport-Rome,Truck 45,4109,2018-01-29 23:04:46.307,2018-01-31 23:38:34.307,45,1529,1
137,Eindhoven Airport,Rome,Eindhoven Airport-Rome,Truck 0,4111,2018-01-26 19:57:01.404,2018-01-28 11:47:54.204,0,1536,194
138,Eindhoven Airport,Rome,Eindhoven Airport-Rome,Truck 4,4401,2018-02-01 10:49:38.628,2018-02-01 17:21:19.428,4,1531,1223
139,Eindhoven Airport,Zagreb,Eindhoven Airport-Zagreb,Truck 4,4101,2018-01-26 20:09:56.773,2018-01-28 10:34:27.973,4,1226,1
140,Eindhoven Airport,Zagreb,Eindhoven Airport-Zagreb,Truck 49,4105,2018-01-29 21:48:39.893,2018-01-31 23:04:17.093,49,1229,0
141,Eindhoven Airport,Zagreb,Eindhoven Airport-Zagreb,Truck 4,4107,2018-01-26 21:18:01.779,2018-01-28 16:48:32.979,4,1225,0
142,Eindhoven Airport,Zagreb,Eindhoven Airport-Zagreb,Truck 21,4109,2018-01-29 22:45:55.113,2018-01-31 16:19:28.713,21,1268,1
143,Eindhoven Airport,Zagreb,Eindhoven Airport-Zagreb,Truck 49,4111,2018-01-29 23:11:58.342,2018-01-31 15:53:51.142,49,1270,0
144,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4800,2018-02-11 18:49:29.776,2018-02-12 02:11:50.176,2,380,5
145,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4802,2018-02-11 18:59:45.903,2018-02-12 06:03:06.303,2,386,1
146,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4804,2018-02-11 19:04:13.209,2018-02-12 06:31:21.609,2,386,1
147,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4806,2018-02-11 19:17:29.715,2018-02-12 11:45:32.115,2,389,1
148,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4808,2018-02-11 19:18:39.431,2018-02-12 12:52:59.831,2,386,1
149,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4810,2018-02-11 19:27:48.413,2018-02-12 09:40:52.013,2,391,3
150,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4812,2018-02-11 19:40:12.134,2018-02-12 06:10:33.734,2,388,1
151,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4814,2018-02-11 19:47:22.623,2018-02-12 03:14:49.023,2,386,1
152,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4816,2018-02-12 03:50:53.903,2018-02-12 12:14:26.303,2,386,1
153,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4818,2018-02-11 22:53:43.270,2018-02-12 10:20:31.270,2,386,1
154,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4820,2018-02-11 20:08:39.794,2018-02-12 08:25:46.994,2,386,1
155,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4822,2018-02-11 20:16:50.301,2018-02-12 12:02:43.101,2,395,4
156,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4824,2018-02-11 20:23:58.438,2018-02-12 09:37:11.638,2,386,1
157,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4826,2018-02-11 20:35:52.163,2018-02-12 09:12:01.763,2,397,4
158,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4828,2018-02-11 20:50:49.521,2018-02-12 09:11:00.321,2,385,1
159,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4830,2018-02-11 20:50:08.441,2018-02-12 10:22:24.041,2,389,2
160,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4832,2018-02-11 21:05:26.149,2018-02-12 08:02:18.949,2,388,1
161,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4834,2018-02-11 21:14:57.848,2018-02-12 05:50:03.848,2,386,1
162,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4836,2018-02-11 22:32:30.761,2018-02-12 10:12:13.961,2,396,4
163,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4838,2018-02-11 21:25:54.103,2018-02-12 10:26:52.903,2,392,3
164,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4840,2018-02-11 21:39:09.447,2018-02-12 10:30:37.047,2,389,2
165,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4842,2018-02-11 21:41:53.164,2018-02-12 07:56:15.964,2,389,1
166,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4844,2018-02-11 21:54:38.876,2018-02-12 11:08:32.876,2,385,1
167,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4846,2018-02-11 22:02:58.981,2018-02-12 12:22:50.581,2,386,1
168,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4848,2018-02-11 22:12:19.902,2018-02-12 12:20:37.902,2,389,2
169,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4850,2018-02-11 22:18:37.283,2018-02-12 10:30:58.883,2,387,3
170,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4852,2018-02-11 22:20:40.229,2018-02-12 06:33:40.229,2,390,2
171,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4854,2018-02-12 06:57:50.378,2018-02-12 14:40:55.178,2,397,4
172,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4856,2018-02-12 04:00:10.922,2018-02-12 14:09:27.722,2,392,1
173,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4858,2018-02-11 22:54:00.249,2018-02-12 13:54:39.849,2,389,2
174,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4860,2018-02-11 22:58:25.559,2018-02-12 10:43:35.159,2,389,3
175,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4862,2018-02-11 23:09:59.261,2018-02-12 14:20:30.461,2,386,1
176,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4864,2018-02-11 23:17:28.147,2018-02-12 13:43:06.547,2,389,2
177,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4866,2018-02-11 23:20:11.492,2018-02-12 13:54:19.892,2,395,4
178,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4868,2018-02-11 23:39:33.649,2018-02-12 12:33:44.449,2,391,1
179,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4870,2018-02-11 23:46:31.436,2018-02-12 15:29:20.636,2,386,1
180,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4872,2018-02-11 23:48:03.191,2018-02-12 13:32:33.191,2,393,2
181,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4874,2018-02-11 23:59:15.687,2018-02-12 10:08:52.887,2,388,1
182,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4876,2018-02-12 00:09:19.748,2018-02-12 11:03:08.948,2,394,3
183,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4878,2018-02-12 00:13:55.888,2018-02-12 08:41:33.088,2,386,1
184,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4880,2018-02-12 00:19:45.596,2018-02-12 15:46:35.996,2,388,2
185,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4882,2018-02-12 00:36:45.800,2018-02-12 16:17:12.200,2,386,1
186,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4884,2018-02-12 00:44:03.555,2018-02-12 12:07:47.955,2,390,2
187,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4886,2018-02-12 00:54:36.487,2018-02-12 10:25:28.087,2,391,3
188,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4888,2018-02-12 01:02:15.823,2018-02-12 14:27:23.023,2,388,2
189,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4890,2018-02-12 01:05:04.385,2018-02-12 12:43:05.585,2,392,1
190,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4892,2018-02-12 01:19:08.096,2018-02-12 12:56:28.496,2,391,4
191,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4894,2018-02-12 01:23:09.180,2018-02-12 12:05:45.180,2,392,2
192,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4896,2018-02-12 01:21:34.694,2018-02-12 13:01:38.294,2,386,1
193,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4898,2018-02-12 01:35:42.388,2018-02-12 13:49:25.588,2,392,2
194,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4900,2018-02-12 01:42:09.683,2018-02-12 16:12:54.083,2,386,1
195,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4902,2018-02-12 01:57:26.217,2018-02-12 12:25:04.617,2,389,2
196,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4904,2018-02-12 01:54:24.418,2018-02-12 18:21:46.018,2,389,2
197,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4906,2018-02-12 02:14:58.809,2018-02-12 15:38:24.009,2,393,2
198,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4908,2018-02-12 02:11:24.251,2018-02-12 15:53:31.451,2,386,0
199,Frankfurt,Munich,Frankfurt-Munich,Truck 2,4910,2018-02-12 02:21:27.548,2018-02-12 15:11:13.148,2,389,2
